epoch,accuracy,auc,fn,fp,loss,prc,precision,recall,tn,tp,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_prc,val_precision,val_recall,val_tn,val_tp
0,0.6669543385505676,0.7258496880531311,1702.0,1771.0,0.23086729645729065,0.7177892327308655,0.6647738218307495,0.6735711693763733,3443.0,3512.0,0.8148906826972961,0.8953320384025574,276.0,266.0,0.4532082974910736,0.8962275981903076,0.81705641746521,0.811475396156311,1198.0,1188.0
1,0.800632894039154,0.8615791201591492,1039.0,1040.0,0.17555157840251923,0.8439449071884155,0.8005752563476562,0.8007287979125977,4174.0,4175.0,0.8985655903816223,0.9470208883285522,147.0,150.0,0.310271292924881,0.9396616220474243,0.8977504968643188,0.8995901346206665,1314.0,1317.0
2,0.847334086894989,0.8955212235450745,791.0,801.0,0.15606187283992767,0.8781513571739197,0.8466691970825195,0.8482930660247803,4413.0,4423.0,0.8982240557670593,0.9319921731948853,149.0,149.0,0.31838348507881165,0.9142266511917114,0.8982240557670593,0.8982240557670593,1315.0,1315.0
3,0.842059850692749,0.9077777862548828,823.0,824.0,0.14443671703338623,0.8978530168533325,0.8419942259788513,0.8421557545661926,4390.0,4391.0,0.8961748480796814,0.9401454329490662,150.0,154.0,0.3784751296043396,0.9297303557395935,0.8950953483581543,0.8975409865379333,1310.0,1314.0
4,0.8424434065818787,0.9026426672935486,811.0,832.0,0.14537900686264038,0.8888416886329651,0.8410696983337402,0.84445720911026,4382.0,4403.0,0.9019808769226074,0.958519697189331,144.0,143.0,0.2798363268375397,0.9572135210037231,0.902255654335022,0.9016393423080444,1321.0,1320.0
5,0.8747602701187134,0.9375523328781128,653.0,653.0,0.11714011430740356,0.9335290193557739,0.8747602701187134,0.8747602701187134,4561.0,4561.0,0.8989071249961853,0.9511899352073669,150.0,146.0,0.2787138819694519,0.9506183862686157,0.8999999761581421,0.8975409865379333,1318.0,1314.0
0,0.5988684296607971,0.6439014077186584,2044.0,2139.0,0.250150591135025,0.6478419303894043,0.597099244594574,0.6079785227775574,3075.0,3170.0,0.7127732038497925,0.7707678079605103,448.0,393.0,0.6446536779403687,0.7530251741409302,0.7210787534713745,0.693989098072052,1071.0,1016.0
1,0.7483697533607483,0.8013092279434204,1328.0,1296.0,0.20613698661327362,0.7792455554008484,0.7499035000801086,0.7453011274337769,3918.0,3886.0,0.8538251519203186,0.9281316995620728,223.0,205.0,0.3695579469203949,0.9268107414245605,0.8582295775413513,0.8476775884628296,1259.0,1241.0
2,0.8074415326118469,0.8653756976127625,1005.0,1003.0,0.17450545728206635,0.8460946083068848,0.8075594902038574,0.8072497248649597,4211.0,4209.0,0.8401639461517334,0.8990522623062134,234.0,234.0,0.42008209228515625,0.8880602121353149,0.8401639461517334,0.8401639461517334,1230.0,1230.0
3,0.847813606262207,0.9008350968360901,789.0,798.0,0.1526537984609604,0.8852388858795166,0.8472142219543457,0.8486766219139099,4416.0,4425.0,0.9047130942344666,0.9406682252883911,137.0,142.0,0.3419066369533539,0.92815762758255,0.9033356308937073,0.9064207673072815,1322.0,1327.0
4,0.8460874557495117,0.9035296440124512,795.0,810.0,0.14460688829421997,0.8857970237731934,0.8450946807861328,0.8475258946418762,4404.0,4419.0,0.7937158346176147,0.8430268168449402,271.0,333.0,0.5890945196151733,0.8212977647781372,0.7817824482917786,0.8148906826972961,1131.0,1193.0
5,0.7858649492263794,0.8649319410324097,1112.0,1121.0,0.1745648980140686,0.8585743308067322,0.7853723764419556,0.786728024482727,4093.0,4102.0,0.8568989038467407,0.9326700568199158,209.0,210.0,0.3433153033256531,0.9320535063743591,0.8566552996635437,0.8572404384613037,1254.0,1255.0
